Make,Model,Year,Mileage,Engine_Size_L,Horsepower,Weight_lbs,Fuel_Type,Transmission,Price,Doors,Cylinders
Hyundai,C-Class,2018,68609,6.0,481,2114,Gasoline,Manual,118372,4,4
Volkswagen,Golf,2017,129270,5.0,421,4022,Hybrid,Automatic,127510,4,4
BMW,Tucson,2002,27460,1.5,151,2939,Gasoline,Automatic,60298,4,4
Nissan,Silverado,2023,99307,3.0,250,2169,Hybrid,Automatic,88004,4,6
Hyundai,A4,2016,114778,4.0,399,2130,Gasoline,Automatic,80475,4,4
Volkswagen,C-Class,2016,129861,2.5,212,2584,Hybrid,Automatic,72482,4,6
Toyota,Civic,2021,41607,2.0,160,1800,Gasoline,CVT,68179,4,6
Nissan,A4,2016,29768,1.5,66,1839,Hybrid,Automatic,45189,2,4
Volkswagen,F-150,2003,1049,2.5,192,3620,Gasoline,Manual,57792,4,8
Chevrolet,Civic,2002,91598,2.5,168,2865,Gasoline,Automatic,31118,4,4
Audi,Tucson,2014,80888,6.0,495,3239,Gasoline,Automatic,150000,4,6
Toyota,A4,2016,62335,2.5,232,2220,Hybrid,Manual,79669,4,8
Toyota,Civic,2005,144116,3.0,239,2379,Gasoline,Manual,49106,4,4
BMW,3 Series,2008,84866,4.0,329,3539,Gasoline,Manual,105634,4,8
Audi,A4,2002,107105,3.0,229,3316,Gasoline,Manual,60812,4,4
Nissan,Silverado,2009,73785,2.0,145,3033,Gasoline,CVT,32976,4,4
BMW,A4,2020,111032,5.0,415,2866,Gasoline,Manual,150000,4,4
Mercedes,Altima,2004,144068,2.0,168,3777,Gasoline,Automatic,37246,4,4
Volkswagen,Civic,2019,88772,1.0,114,1843,Electric,Automatic,68577,4,6
Hyundai,F-150,2024,114809,1.5,125,3080,Hybrid,Manual,57952,4,6
Chevrolet,Golf,2002,39337,3.0,188,2983,Diesel,Manual,53720,4,4
Audi,Altima,2022,79239,6.0,542,3747,Gasoline,Automatic,150000,4,6
BMW,Silverado,2008,98514,6.0,492,2879,Gasoline,CVT,150000,4,4
Chevrolet,A4,2008,36930,5.0,402,1800,Gasoline,Automatic,98718,4,4
Ford,C-Class,2002,55131,2.5,194,3162,Gasoline,Automatic,41919,4,4
Ford,Tucson,2023,94665,5.0,402,3143,Gasoline,Automatic,103386,4,4
Audi,Civic,2015,60464,3.0,222,3000,Gasoline,Manual,100329,4,4
Hyundai,Tucson,2015,104689,4.0,353,2652,Hybrid,CVT,87805,4,4
Mercedes,Altima,2019,79746,5.0,383,3925,Gasoline,Automatic,150000,4,4
BMW,Golf,2013,40853,3.0,180,4098,Gasoline,Automatic,101918,4,4
Ford,C-Class,2007,51366,6.0,398,3985,Gasoline,Automatic,106026,4,4
Hyundai,Camry,2011,638,2.5,194,2281,Gasoline,Automatic,56389,4,4
Mercedes,Camry,2000,78335,5.0,375,2246,Gasoline,Automatic,133762,4,6
BMW,3 Series,2006,56089,5.0,400,4298,Electric,Automatic,150000,4,4
Honda,A4,2020,122314,3.0,248,2079,Hybrid,Automatic,88143,4,4
Volkswagen,Civic,2008,157783,3.0,201,2987,Diesel,Automatic,52519,4,4
Mercedes,C-Class,2017,154681,1.5,163,3297,Hybrid,Automatic,83754,2,6
Honda,Silverado,2004,107595,5.0,406,3114,Gasoline,Automatic,94413,4,4
Ford,Silverado,2007,11421,5.0,390,2217,Hybrid,Automatic,116728,2,6
Chevrolet,C-Class,2015,69299,3.0,234,3323,Gasoline,Automatic,57456,2,4
Volkswagen,F-150,2004,84604,3.0,232,4145,Gasoline,Manual,54518,4,4
Volkswagen,Altima,2007,71030,3.0,291,2689,Gasoline,Manual,72663,4,4
Nissan,A4,2011,46627,2.0,146,3178,Gasoline,Automatic,49841,4,4
Ford,3 Series,2020,47936,1.0,50,3130,Diesel,Automatic,36752,4,6
Mercedes,Camry,2007,66633,4.0,329,2858,Diesel,Automatic,132505,4,4
Mercedes,Camry,2024,168961,5.0,458,1800,Gasoline,Automatic,150000,4,4
Nissan,Silverado,2009,47709,1.0,117,1965,Gasoline,Manual,36559,4,4
Chevrolet,Camry,2006,40078,6.0,470,3481,Gasoline,Automatic,100406,4,8
Mercedes,Silverado,2005,69151,2.0,194,2985,Diesel,Automatic,80231,4,6
Audi,Silverado,2017,98300,2.0,156,2258,Gasoline,CVT,85047,4,4
Audi,Tucson,2023,77716,6.0,507,3537,Hybrid,Automatic,150000,4,6
Ford,Civic,2009,87580,2.5,182,2858,Gasoline,Automatic,50871,4,4
Hyundai,F-150,2023,88723,2.5,213,2718,Gasoline,CVT,66541,4,6
BMW,3 Series,2016,57984,1.0,83,3693,Gasoline,Automatic,56725,4,4
Mercedes,Camry,2014,68839,5.0,439,2100,Hybrid,Automatic,150000,4,6
Chevrolet,Camry,2019,14279,1.5,132,2852,Gasoline,Manual,54686,4,4
Toyota,Camry,2003,57081,3.0,196,3901,Hybrid,Automatic,59067,4,4
BMW,A4,2003,63399,3.0,234,4560,Electric,Automatic,122382,4,6
Mercedes,Silverado,2001,56657,3.0,260,2815,Gasoline,Automatic,90818,2,6
Mercedes,F-150,2004,47205,5.0,407,2781,Diesel,Automatic,150000,4,8
Mercedes,Silverado,2012,10868,3.0,239,2955,Electric,Automatic,150000,4,4
BMW,Civic,2020,71209,5.0,365,2404,Gasoline,Manual,150000,4,4
BMW,Silverado,2016,102197,5.0,426,2922,Gasoline,Automatic,150000,4,4
Audi,Camry,2001,86736,2.5,219,3355,Gasoline,Manual,60539,4,8
BMW,Civic,2023,73170,3.0,310,3045,Electric,Automatic,150000,4,4
Toyota,Silverado,2019,162344,1.5,130,2529,Diesel,Manual,40284,2,6
Ford,Silverado,2003,127722,6.0,505,3164,Gasoline,Automatic,96231,4,4
Honda,Tucson,2022,86785,1.0,75,2212,Hybrid,Automatic,52819,4,6
Volkswagen,Altima,2000,93368,5.0,371,2433,Gasoline,Automatic,82479,4,4
Chevrolet,F-150,2023,62815,5.0,407,3912,Gasoline,Automatic,110804,4,4
Audi,Civic,2010,85128,6.0,494,3069,Electric,Automatic,150000,4,6
Volkswagen,Silverado,2009,147695,1.0,89,1800,Hybrid,Automatic,30927,4,6
Honda,Altima,2003,59397,2.5,187,1949,Diesel,CVT,50112,4,6
Nissan,3 Series,2001,97073,1.5,127,2059,Hybrid,Manual,27284,4,8
Mercedes,Camry,2008,74781,1.5,133,2942,Gasoline,Automatic,60192,4,4
Honda,F-150,2006,107812,5.0,401,3997,Diesel,Automatic,102124,4,6
Honda,3 Series,2010,36836,1.0,93,3350,Hybrid,Manual,41226,4,4
Ford,C-Class,2023,95500,2.0,169,2127,Diesel,Automatic,57986,4,4
Chevrolet,Golf,2000,64977,1.0,121,2669,Gasoline,Automatic,27106,4,4
Toyota,Silverado,2000,102628,5.0,385,3968,Gasoline,Manual,80277,4,6
BMW,Golf,2021,136571,2.5,186,1800,Gasoline,CVT,91599,4,6
Nissan,Altima,2016,109007,2.5,291,1800,Gasoline,Automatic,68797,4,4
Volkswagen,F-150,2018,36335,2.5,169,3264,Gasoline,CVT,74186,4,4
Chevrolet,Silverado,2024,72159,4.0,316,2802,Gasoline,Automatic,96146,4,4
Volkswagen,Silverado,2021,100012,6.0,463,4172,Diesel,Automatic,140449,4,4
Honda,Camry,2013,72780,3.0,256,3179,Gasoline,CVT,77168,4,6
Ford,Silverado,2013,51295,1.0,90,3281,Gasoline,Automatic,28646,4,6
Mercedes,Silverado,2007,71158,1.0,113,3273,Diesel,Automatic,56802,2,4
Honda,Civic,2022,76837,1.0,50,3083,Gasoline,Automatic,37251,4,6
Volkswagen,Golf,2020,105920,2.0,188,1800,Gasoline,Automatic,69619,4,6
BMW,3 Series,2017,140443,6.0,480,2927,Gasoline,Automatic,150000,4,4
Toyota,Altima,2006,153215,1.5,97,2436,Gasoline,Automatic,21409,4,8
Mercedes,F-150,2008,99240,1.0,51,2143,Gasoline,Manual,29736,4,4
BMW,Tucson,2022,34980,2.0,188,3922,Diesel,Automatic,112525,4,4
Audi,Camry,2000,35343,2.5,175,3176,Gasoline,Automatic,73775,4,4
Ford,C-Class,2017,0,2.0,164,1800,Gasoline,Manual,60285,4,4
BMW,Golf,2005,69150,3.0,203,1800,Diesel,Automatic,97440,4,4
Honda,Golf,2024,142241,2.0,167,2484,Gasoline,Manual,55399,4,4
Mercedes,F-150,2005,81706,2.5,200,2723,Hybrid,Automatic,93357,4,4
Chevrolet,A4,2002,123560,3.0,175,4009,Gasoline,Automatic,27899,2,4
Volkswagen,Golf,2021,32910,2.5,169,5018,Gasoline,CVT,69782,4,4
Hyundai,C-Class,2000,85884,4.0,325,2661,Gasoline,Automatic,59907,4,6
Nissan,Camry,2009,576,4.0,341,3741,Gasoline,CVT,88830,4,8
Volkswagen,F-150,2008,145506,1.5,99,2537,Gasoline,Automatic,28393,4,8
Ford,Silverado,2004,54437,1.0,58,3546,Gasoline,CVT,18200,4,4
Toyota,3 Series,2018,41451,6.0,457,2215,Gasoline,Automatic,130743,4,8
BMW,3 Series,2003,162258,3.0,227,2881,Gasoline,Automatic,53953,4,6
BMW,Silverado,2022,77944,5.0,430,3494,Gasoline,Automatic,150000,4,4
BMW,Golf,2009,72513,2.5,176,1958,Gasoline,Automatic,83911,2,4
Hyundai,Civic,2003,129328,6.0,513,3777,Gasoline,Automatic,98695,4,8
Honda,C-Class,2021,92457,1.0,74,4473,Gasoline,Manual,38806,4,4
BMW,Tucson,2022,127312,4.0,335,3481,Diesel,CVT,145710,4,4
Honda,Camry,2008,128213,1.0,56,2733,Gasoline,Manual,16911,4,4
BMW,3 Series,2024,135996,2.5,191,3278,Gasoline,CVT,104170,4,4
Hyundai,3 Series,2004,101999,2.5,210,4120,Gasoline,Automatic,36308,4,4
Honda,Civic,2024,0,1.5,80,3217,Gasoline,Automatic,60459,4,6
Honda,Civic,2022,67089,1.0,71,4260,Diesel,Automatic,43911,4,4
Hyundai,C-Class,2021,108640,2.0,189,4563,Gasoline,Manual,53671,4,4
Mercedes,A4,2024,62593,2.5,99,3715,Gasoline,Automatic,104999,2,6
Nissan,Tucson,2012,49981,4.0,322,2520,Hybrid,Automatic,95243,4,6
Toyota,F-150,2014,11670,2.5,147,2185,Gasoline,Manual,65027,4,6
Ford,Golf,2010,106180,3.0,236,3434,Gasoline,Automatic,50747,4,6
BMW,Camry,2008,97921,4.0,383,1863,Gasoline,Automatic,139824,4,8
Audi,F-150,2000,158209,2.0,184,2146,Hybrid,Automatic,44458,4,4
Volkswagen,Civic,2012,9745,1.0,92,2715,Gasoline,Automatic,49127,4,4
Ford,3 Series,2021,68250,4.0,315,1800,Diesel,CVT,96063,4,6
Ford,3 Series,2009,67737,2.5,207,2189,Diesel,Automatic,57884,4,6
Toyota,A4,2007,74400,3.0,242,2319,Diesel,Manual,64203,2,8
Honda,Civic,2013,66523,1.0,50,4541,Diesel,Automatic,30768,4,4
Toyota,Civic,2023,92795,1.0,50,2070,Hybrid,Automatic,46433,4,6
Hyundai,C-Class,2005,119092,3.0,264,3189,Hybrid,Manual,47855,4,6
Chevrolet,Civic,2023,95687,3.0,235,1800,Electric,CVT,104179,4,4
Honda,A4,2008,64099,2.5,244,3176,Hybrid,Automatic,86083,4,4
Volkswagen,Tucson,2011,143841,1.0,88,4390,Electric,Automatic,30874,4,4
Audi,Silverado,2002,102681,3.0,211,1944,Gasoline,Manual,59429,4,6
Ford,Altima,2007,61534,1.5,106,2709,Gasoline,Automatic,27937,4,4
Audi,Altima,2020,123941,5.0,387,4061,Gasoline,CVT,149321,4,4
Nissan,Camry,2000,71446,1.0,89,3238,Gasoline,Manual,16772,4,6
Mercedes,Silverado,2007,105767,6.0,478,3540,Gasoline,Manual,150000,4,4
Toyota,Altima,2021,11454,6.0,477,2357,Gasoline,Automatic,143100,4,6
Hyundai,A4,2014,107225,4.0,306,3363,Diesel,Manual,70232,4,6
BMW,F-150,2005,99366,2.0,180,3683,Diesel,CVT,52560,4,6
Volkswagen,Tucson,2006,66552,4.0,312,1873,Gasoline,CVT,75504,4,6
Honda,A4,2013,39721,1.5,158,2505,Electric,Automatic,78191,4,4
Chevrolet,C-Class,2012,56564,2.0,193,2922,Gasoline,Manual,46430,2,8
Nissan,3 Series,2014,99457,6.0,453,1800,Hybrid,Automatic,125610,4,6
BMW,Altima,2007,60012,5.0,422,3556,Gasoline,Automatic,150000,4,4
Honda,Tucson,2018,93010,1.5,119,2261,Gasoline,Manual,46347,4,8
Hyundai,Golf,2017,98844,5.0,427,2490,Gasoline,Manual,96950,4,4
Ford,Golf,2022,6922,1.5,113,3445,Gasoline,Manual,61657,2,4
Toyota,F-150,2021,57177,6.0,442,1800,Gasoline,Automatic,141260,4,4
Chevrolet,3 Series,2010,54503,1.5,97,2582,Diesel,Automatic,29977,4,4
Mercedes,Silverado,2014,124225,1.0,95,3411,Gasoline,Automatic,47704,4,4
Audi,Silverado,2005,107935,3.0,218,1800,Gasoline,Manual,63313,2,4
Nissan,Civic,2024,106989,4.0,345,2696,Gasoline,Automatic,92950,4,6
BMW,Silverado,2021,10556,1.0,50,4689,Gasoline,Automatic,58926,4,4
Hyundai,3 Series,2002,116911,6.0,439,3814,Electric,Automatic,118559,4,8
Ford,A4,2001,86310,1.0,54,3276,Diesel,Automatic,7428,4,6
Hyundai,Civic,2009,86441,5.0,431,2402,Gasoline,CVT,87578,2,6
Nissan,3 Series,2020,64334,2.5,139,3721,Gasoline,Automatic,59120,4,4
BMW,F-150,2017,9942,2.0,136,3148,Gasoline,CVT,100096,4,8
Ford,F-150,2003,20806,1.0,50,1800,Gasoline,Manual,27014,4,4
Nissan,Golf,2020,125027,6.0,530,2080,Diesel,Automatic,130750,4,4
Nissan,C-Class,2010,120634,1.0,115,2919,Gasoline,Automatic,22929,4,4
Nissan,F-150,2011,29543,5.0,368,2212,Diesel,Automatic,104951,4,6
Audi,C-Class,2008,79219,3.0,244,3689,Gasoline,CVT,88070,4,6
Audi,Camry,2013,100431,2.0,179,1800,Diesel,Manual,81332,4,6
Hyundai,Civic,2016,139006,2.5,229,2401,Gasoline,Automatic,52949,4,6
Honda,Tucson,2014,117894,6.0,469,2382,Gasoline,Automatic,114022,2,4
Mercedes,Camry,2022,101842,2.5,203,4628,Electric,Automatic,150000,4,4
Mercedes,Silverado,2008,26848,6.0,484,2127,Gasoline,Automatic,150000,4,4
Hyundai,Tucson,2003,107639,2.5,221,2670,Hybrid,Automatic,45255,4,6
BMW,3 Series,2006,71446,2.5,207,3313,Hybrid,Manual,81190,4,8
Honda,A4,2015,128338,2.0,122,1971,Gasoline,Automatic,38710,4,8
Honda,3 Series,2000,100961,6.0,506,3615,Gasoline,Automatic,106524,4,6
Audi,Golf,2000,23790,1.5,67,4330,Diesel,Automatic,24190,4,6
Volkswagen,A4,2004,8959,2.5,179,3133,Hybrid,CVT,65301,2,4
BMW,Camry,2014,88080,4.0,344,3255,Gasoline,Automatic,133841,4,4
Ford,Camry,2009,100381,1.5,122,3473,Diesel,Automatic,32410,4,4
Ford,Altima,2020,61257,2.5,199,3146,Gasoline,Automatic,67035,4,4
Chevrolet,A4,2004,115838,5.0,382,4477,Hybrid,Automatic,82899,2,4
Volkswagen,Altima,2021,106894,1.0,147,2940,Diesel,Automatic,55110,4,4
Toyota,Civic,2019,122285,5.0,360,2682,Gasoline,Automatic,96860,2,4
Honda,F-150,2010,51517,2.0,202,3272,Diesel,Manual,65862,4,6
Audi,Tucson,2014,49388,6.0,474,2847,Diesel,Automatic,150000,4,6
BMW,3 Series,2012,10798,5.0,398,2498,Gasoline,Automatic,150000,4,4
Ford,Camry,2020,32736,2.0,169,4719,Diesel,Automatic,64804,4,6
Mercedes,A4,2011,121226,4.0,285,1974,Gasoline,CVT,116465,4,4
Toyota,C-Class,2012,14560,4.0,351,2438,Diesel,Automatic,99722,4,6
Ford,Silverado,2009,51669,6.0,478,3327,Diesel,Manual,122049,4,8
Toyota,A4,2009,95988,2.0,183,3652,Gasoline,Automatic,43136,2,6
Honda,F-150,2001,37473,1.5,128,3856,Gasoline,Manual,32633,4,4
Mercedes,Civic,2014,61472,5.0,356,5507,Diesel,Manual,150000,4,6
Mercedes,Camry,2006,130355,1.0,85,3094,Gasoline,Manual,27830,4,4
Nissan,F-150,2016,116399,3.0,272,3448,Gasoline,Manual,71022,4,6
Hyundai,Tucson,2020,84496,4.0,279,4063,Hybrid,Automatic,88465,4,4
BMW,A4,2000,91311,6.0,519,2616,Diesel,CVT,150000,4,6
Nissan,Tucson,2013,47479,1.5,117,3428,Gasoline,Manual,41318,4,6
BMW,Civic,2008,86286,1.0,67,3708,Gasoline,Automatic,30601,4,4
Volkswagen,F-150,2023,71596,2.5,164,2836,Gasoline,Manual,67572,4,6
Mercedes,C-Class,2011,130271,1.0,79,3143,Gasoline,Automatic,22424,4,6
Hyundai,Altima,2005,69765,6.0,451,1800,Gasoline,CVT,95232,4,4
BMW,Altima,2015,120497,4.0,346,3605,Electric,Automatic,150000,4,6
Toyota,F-150,2002,142240,1.5,97,2931,Gasoline,CVT,7718,4,6
Audi,3 Series,2018,83154,2.0,159,3102,Gasoline,Automatic,78392,4,4
Audi,Civic,2013,18290,3.0,290,3678,Hybrid,Automatic,137451,4,4
Nissan,C-Class,2000,173331,3.0,260,2955,Diesel,Automatic,46820,2,6
Ford,Altima,2021,98804,4.0,278,3158,Diesel,Automatic,86908,4,6
Hyundai,3 Series,2024,121322,5.0,381,3771,Hybrid,Manual,108438,4,4
Toyota,A4,2001,81566,5.0,346,2589,Gasoline,Automatic,73836,4,4
Hyundai,Silverado,2023,75172,4.0,339,3180,Gasoline,Manual,88497,4,4
Honda,Golf,2008,0,4.0,349,2417,Gasoline,Manual,104220,4,4
Chevrolet,3 Series,2016,96946,1.5,95,3270,Gasoline,Automatic,33554,4,4
BMW,F-150,2000,62545,4.0,357,1800,Hybrid,Manual,140599,2,6
Hyundai,Altima,2017,18881,5.0,412,3090,Gasoline,Automatic,105425,2,6
Audi,A4,2004,83069,3.0,273,3262,Diesel,Automatic,92047,4,6
Chevrolet,A4,2012,127763,2.0,151,4623,Gasoline,Automatic,34923,4,6
Nissan,Tucson,2007,133983,1.5,164,3489,Hybrid,Automatic,43932,4,4
Toyota,Golf,2001,100952,1.0,121,2509,Diesel,CVT,19807,4,6
Hyundai,C-Class,2018,64621,2.5,213,4384,Gasoline,CVT,63039,4,4
Hyundai,Camry,2018,89387,2.0,165,3941,Diesel,Automatic,50715,4,6
BMW,Altima,2015,80529,1.0,99,3228,Electric,Manual,87172,4,4
Toyota,A4,2009,49643,4.0,315,2981,Gasoline,Automatic,88312,4,6
Chevrolet,C-Class,2005,138705,2.0,161,3564,Gasoline,Manual,19504,4,4
Audi,Silverado,2022,114159,1.5,102,2334,Electric,Automatic,94201,4,6
Nissan,Altima,2005,49889,5.0,341,3833,Hybrid,Manual,87534,4,6
Ford,Altima,2011,92840,2.0,172,3397,Gasoline,Manual,47392,4,4
Chevrolet,Golf,2010,22443,2.0,185,3534,Gasoline,Automatic,51904,4,4
Volkswagen,F-150,2012,55040,1.0,67,2838,Gasoline,Automatic,40576,4,8
Hyundai,A4,2022,82836,1.5,74,3183,Gasoline,Automatic,42059,4,4
Toyota,Tucson,2017,124351,1.5,178,2309,Gasoline,Automatic,45353,4,4
Toyota,Camry,2000,45094,1.5,171,2755,Diesel,CVT,40444,4,6
Audi,Silverado,2017,43485,5.0,417,4249,Hybrid,Automatic,150000,4,4
Toyota,Camry,2011,81540,2.0,154,3748,Hybrid,Automatic,47351,4,4
Ford,3 Series,2022,116682,2.0,202,3827,Diesel,Automatic,58380,4,4
Volkswagen,F-150,2013,94355,1.0,67,2278,Gasoline,Automatic,29920,4,4
Nissan,Altima,2023,134775,2.0,193,1800,Hybrid,Automatic,66258,4,4
Mercedes,Golf,2010,59848,5.0,371,2837,Gasoline,CVT,150000,4,4
Honda,3 Series,2006,170819,5.0,409,4003,Diesel,Automatic,85385,4,4
Toyota,Altima,2016,77289,1.5,119,2930,Electric,Automatic,62172,4,8
BMW,Camry,2011,118731,3.0,214,2123,Gasoline,Automatic,90316,4,4
Toyota,A4,2019,56818,3.0,225,2985,Gasoline,Automatic,68940,4,4
Ford,F-150,2009,88897,6.0,465,4499,Diesel,Automatic,108867,4,4
Honda,C-Class,2013,106145,4.0,360,3139,Hybrid,Automatic,109609,4,4
BMW,3 Series,2002,69003,1.0,67,4122,Gasoline,Manual,33004,4,4
Honda,Civic,2000,86624,2.5,244,2036,Diesel,Automatic,55816,4,4
Nissan,Golf,2022,121674,2.5,187,3623,Gasoline,Automatic,56159,4,6
Honda,Silverado,2002,88444,2.5,169,3441,Gasoline,Automatic,43444,4,6
Mercedes,F-150,2017,63612,1.0,90,2950,Gasoline,CVT,74019,4,6
Audi,Golf,2024,28898,4.0,291,3723,Hybrid,Automatic,150000,2,4
Audi,F-150,2009,39896,2.5,203,2704,Diesel,Automatic,85347,4,4
Hyundai,Tucson,2014,23286,6.0,395,1800,Diesel,Automatic,111578,2,4
Ford,C-Class,2016,47249,4.0,314,1800,Gasoline,Automatic,88916,4,6
Honda,C-Class,2013,78082,2.0,172,3234,Gasoline,Automatic,46763,4,4
Audi,Golf,2003,78975,2.5,209,2725,Electric,Automatic,88384,4,4
Toyota,Tucson,2000,38182,4.0,345,2310,Gasoline,Automatic,77024,4,8
Ford,Civic,2021,21040,2.0,156,1800,Hybrid,Automatic,79888,4,4
Chevrolet,3 Series,2009,187373,4.0,298,2641,Hybrid,Manual,66449,4,4
Audi,A4,2019,91990,3.0,244,4527,Gasoline,Automatic,112374,4,6
Honda,C-Class,2010,74595,2.5,221,4328,Diesel,Automatic,58402,4,4
Volkswagen,F-150,2018,78312,1.5,82,2599,Gasoline,Automatic,43661,4,4
Volkswagen,C-Class,2001,0,2.5,191,3211,Gasoline,Manual,58573,4,8
Hyundai,Silverado,2009,114208,3.0,186,2948,Diesel,Manual,44732,4,4
Nissan,Golf,2004,49645,6.0,462,3622,Gasoline,Automatic,103023,4,4
Chevrolet,3 Series,2000,57299,2.0,199,1934,Diesel,Manual,43430,4,6
Toyota,Tucson,2014,95779,4.0,308,3164,Diesel,Automatic,89175,2,6
Nissan,Tucson,2002,84779,6.0,514,2528,Gasoline,Automatic,103840,4,4
BMW,C-Class,2022,28471,6.0,498,4360,Gasoline,Manual,150000,4,6
Hyundai,Civic,2016,86270,2.0,119,2720,Gasoline,Manual,49934,4,6
Mercedes,C-Class,2003,146806,5.0,326,3665,Gasoline,Automatic,113825,4,4
Audi,C-Class,2016,133058,2.5,197,1822,Gasoline,Manual,87021,4,4
Volkswagen,Camry,2020,103203,2.5,209,3651,Diesel,Automatic,65377,2,6
BMW,Tucson,2021,75394,2.5,170,3581,Hybrid,Automatic,127019,4,6
Volkswagen,Altima,2000,53167,2.0,163,3808,Gasoline,Automatic,37631,2,4
Nissan,Altima,2014,80229,3.0,260,2325,Gasoline,Manual,70190,2,4
Audi,Camry,2018,109120,2.5,241,2232,Gasoline,Automatic,97921,4,6
Nissan,F-150,2001,104240,2.5,174,1933,Gasoline,Automatic,29863,4,4
Hyundai,A4,2024,83401,6.0,475,1800,Gasoline,Automatic,124688,4,8
Nissan,Camry,2016,86503,5.0,384,3450,Gasoline,Automatic,95874,4,4
Volkswagen,Civic,2005,49117,1.5,151,3094,Gasoline,Automatic,37005,4,4
Chevrolet,3 Series,2024,81914,2.5,203,2538,Gasoline,Automatic,68531,4,8
Chevrolet,A4,2013,64704,1.0,118,2423,Diesel,Automatic,37133,4,8
Honda,3 Series,2011,95168,1.5,60,2773,Gasoline,Automatic,34611,4,6
BMW,Altima,2015,40297,4.0,314,3344,Gasoline,CVT,140477,4,4
BMW,Golf,2003,93641,2.5,214,2527,Gasoline,Automatic,74224,4,4
Audi,Altima,2001,102996,2.0,149,3667,Diesel,Automatic,47746,4,4
Audi,3 Series,2006,99322,2.5,171,3076,Electric,Automatic,84413,4,4
Ford,3 Series,2012,143718,1.0,94,2726,Gasoline,Automatic,19835,4,4
Nissan,C-Class,2012,79402,1.0,85,4005,Gasoline,Automatic,27279,4,6
Honda,Golf,2022,55666,1.5,87,3271,Gasoline,Automatic,54637,4,8
Hyundai,Camry,2018,60899,5.0,433,3262,Diesel,CVT,110255,4,4
BMW,F-150,2023,119306,2.0,102,3511,Diesel,Automatic,78854,4,6
Chevrolet,Silverado,2022,91739,4.0,341,3646,Diesel,Automatic,92609,4,8
BMW,Tucson,2005,102938,3.0,245,2807,Gasoline,Automatic,87366,4,4
Nissan,C-Class,2017,62204,1.5,119,3214,Hybrid,Automatic,46198,4,8
Nissan,A4,2014,93992,2.5,225,1800,Diesel,CVT,65754,4,6
Volkswagen,3 Series,2022,54097,4.0,355,2167,Gasoline,CVT,108738,4,4
Volkswagen,Camry,2024,54225,2.0,183,2955,Gasoline,Manual,70635,4,4
Nissan,3 Series,2000,108711,6.0,496,3439,Diesel,Automatic,100398,4,6
Honda,Camry,2024,54224,2.0,171,2928,Hybrid,Automatic,79854,4,4
Volkswagen,Golf,2018,75713,1.5,125,2327,Diesel,Automatic,55174,4,4
Mercedes,C-Class,2024,39945,4.0,322,2922,Gasoline,Automatic,150000,4,8
Toyota,C-Class,2018,59991,6.0,470,3155,Gasoline,Manual,128347,4,4
Volkswagen,3 Series,2019,80346,2.5,207,3477,Gasoline,Automatic,69899,4,4
Mercedes,F-150,2023,90170,1.0,81,3674,Gasoline,Automatic,64747,4,6
Honda,3 Series,2015,125575,6.0,544,2163,Electric,Manual,150000,4,4
Honda,Silverado,2018,77046,2.5,209,4070,Gasoline,Manual,72742,4,4
Mercedes,C-Class,2016,37121,3.0,254,3760,Gasoline,Automatic,134023,4,6
Toyota,Silverado,2000,76640,1.5,106,4083,Electric,Automatic,37114,2,6
BMW,Altima,2002,43532,2.0,91,2540,Electric,Automatic,68988,4,6
Honda,Civic,2004,176404,1.0,78,3409,Gasoline,CVT,10100,4,6
Nissan,Altima,2023,99912,5.0,393,2309,Gasoline,CVT,108120,4,4
Nissan,Tucson,2014,70346,1.5,131,2217,Gasoline,Manual,39740,4,6
Audi,Silverado,2017,72801,2.0,117,2393,Hybrid,Automatic,92838,4,4
Audi,F-150,2013,77570,4.0,381,3035,Gasoline,Automatic,136321,4,4
Ford,C-Class,2009,89617,3.0,215,3078,Electric,Manual,69135,4,4
Hyundai,Silverado,2004,103772,4.0,393,3274,Gasoline,Manual,71896,4,6
Mercedes,Civic,2005,33903,5.0,423,2435,Gasoline,CVT,150000,4,4
Toyota,Golf,2022,54363,2.5,208,3680,Gasoline,Automatic,82792,4,4
Nissan,Altima,2023,66478,4.0,315,2901,Gasoline,Manual,96464,4,8
Audi,Civic,2024,107138,4.0,310,2004,Gasoline,Manual,150000,4,6
Hyundai,3 Series,2009,40734,2.5,194,2684,Hybrid,Manual,58360,4,4
Chevrolet,Tucson,2001,125272,1.0,133,1820,Gasoline,Automatic,22098,4,6
Toyota,Golf,2021,63127,1.5,93,3662,Gasoline,Automatic,45855,4,4
Toyota,Civic,2012,994,5.0,383,2795,Diesel,CVT,121885,4,8
Chevrolet,Civic,2017,125342,6.0,456,3466,Diesel,Automatic,118411,4,4
Honda,Silverado,2001,31190,1.5,196,3087,Hybrid,Automatic,50636,4,4
Volkswagen,Civic,2009,83457,1.0,73,3072,Gasoline,Manual,20719,4,4
BMW,Tucson,2020,61653,6.0,420,2448,Gasoline,Automatic,150000,4,6
Nissan,Silverado,2023,79232,1.5,92,2899,Gasoline,Automatic,46767,4,6
Honda,Golf,2024,141832,3.0,281,2333,Gasoline,Automatic,79471,2,4
Chevrolet,Silverado,2020,98843,1.5,129,4221,Gasoline,Manual,43918,4,6
Ford,Silverado,2002,90959,5.0,340,2345,Gasoline,Automatic,68212,4,4
