Make,Model,Year,Mileage,Engine_Size_L,Horsepower,Weight_lbs,Fuel_Type,Transmission,Doors,Cylinders,Price
Audi,A6,2016,54415,5.0,281,3903,Diesel,Automatic,4,4,87896
Chevrolet,Malibu,2005,67053,6.0,453,4033,Diesel,Automatic,4,4,68100
BMW,3 Series,2018,36217,2.0,125,3905,Gasoline,Automatic,4,8,66922
Audi,A4,2022,93446,2.0,250,5224,Gasoline,Automatic,4,4,73960
Volkswagen,Tiguan,2009,31295,2.0,129,3671,Hybrid,Automatic,4,6,49263
Honda,Accord,2022,69403,6.0,394,3352,Gasoline,Manual,4,4,100693
Ford,Mustang,2010,58491,4.0,341,2713,Gasoline,Automatic,4,4,64933
Toyota,4Runner,2011,19299,3.0,229,2981,Gasoline,Automatic,4,6,56060
Audi,A4,2023,105889,4.0,227,3674,Gasoline,Automatic,4,4,82952
Volkswagen,Tiguan,2006,70117,4.0,325,4730,Gasoline,Automatic,4,6,53946
Volkswagen,Jetta,2014,89459,6.0,407,3914,Gasoline,Automatic,2,4,87264
Hyundai,Santa Fe,2005,92883,2.5,220,2847,Gasoline,Automatic,4,4,30100
Honda,HR-V,2010,48011,3.5,310,4430,Gasoline,Automatic,4,6,56831
Mercedes,GLE,2014,45660,3.0,238,4659,Gasoline,Automatic,4,4,64946
Audi,A6,2024,100323,1.5,139,5434,Gasoline,Automatic,4,4,68797
Honda,Pilot,2010,73450,3.0,192,3138,Gasoline,Automatic,2,6,43625
Nissan,Altima,2008,39623,6.0,450,2328,Gasoline,Automatic,4,4,75716
Toyota,Corolla,2007,78486,1.5,140,3094,Hybrid,CVT,4,8,32250
Chevrolet,Equinox,2009,76126,3.5,238,1920,Gasoline,Automatic,4,4,55676
Volkswagen,Jetta,2011,119308,5.0,336,4188,Gasoline,Automatic,4,6,62692
Honda,CR-V,2016,47441,2.5,181,3892,Gasoline,Automatic,4,4,54683
Hyundai,Santa Fe,2019,38461,2.0,139,4375,Gasoline,Automatic,4,4,55091
Volkswagen,Tiguan,2017,108687,6.0,403,4516,Hybrid,Automatic,4,8,93871
Nissan,Rogue,2013,64298,3.5,267,2981,Gasoline,Automatic,4,8,57666
Nissan,Rogue,2018,85241,3.5,243,2106,Gasoline,Automatic,4,4,67956
Chevrolet,Silverado,2017,7213,5.0,300,2932,Gasoline,Automatic,4,6,90452
Ford,Explorer,2017,31942,3.0,214,3732,Gasoline,Automatic,4,4,59160
Hyundai,Sonata,2010,39388,4.0,276,2700,Gasoline,Automatic,4,6,60572
Mercedes,GLE,2011,74711,6.0,435,3708,Gasoline,Automatic,4,4,91885
Ford,Escape,2017,45513,3.0,216,2563,Gasoline,CVT,4,4,60512
Toyota,4Runner,2012,79149,2.0,143,3665,Hybrid,Automatic,4,8,49967
Mercedes,GLC,2016,145295,1.5,120,3096,Diesel,Automatic,4,6,51151
Toyota,Tacoma,2017,83842,4.0,202,3366,Gasoline,Automatic,4,8,62546
Ford,F-150,2022,62263,2.0,123,3105,Gasoline,Automatic,4,4,57746
BMW,5 Series,2008,20345,6.0,428,3114,Diesel,Automatic,2,4,85132
Volkswagen,Jetta,2016,106996,1.5,181,3212,Diesel,Automatic,4,6,46792
Nissan,Pathfinder,2009,96756,5.0,310,3214,Diesel,Automatic,4,4,61903
Audi,Q7,2009,80085,6.0,439,5502,Gasoline,Automatic,4,6,87681
Honda,Civic,2017,73654,2.0,121,3438,Diesel,Automatic,4,4,45011
Mercedes,C-Class,2011,73532,5.0,337,3498,Gasoline,Automatic,4,6,82149
Audi,Q5,2015,69759,5.0,436,3802,Gasoline,Automatic,4,4,90693
Audi,Q7,2009,33798,2.5,192,2770,Hybrid,Automatic,4,4,69718
Ford,Explorer,2007,68353,5.0,325,3710,Hybrid,Automatic,4,4,66966
Audi,A6,2013,92884,3.5,270,3491,Gasoline,CVT,4,4,65492
Volkswagen,Atlas,2007,73855,5.0,399,4236,Hybrid,Automatic,2,4,74766
BMW,X3,2022,79415,2.0,135,3505,Gasoline,Automatic,2,4,65336
Audi,Q7,2005,58118,3.0,211,2949,Gasoline,Manual,4,4,46107
Toyota,Highlander,2021,19335,1.5,145,2974,Gasoline,Automatic,4,4,56268
Honda,HR-V,2012,54253,6.0,442,3570,Gasoline,Automatic,4,6,79642
Audi,Q5,2008,28981,5.0,344,4187,Hybrid,Manual,2,4,82795
Volkswagen,Golf,2018,37154,6.0,466,3752,Hybrid,Automatic,4,4,100369
Mercedes,E-Class,2013,84159,5.0,432,3537,Gasoline,Automatic,4,4,93954
Chevrolet,Malibu,2017,39060,5.0,346,3481,Hybrid,Automatic,4,4,77624
Toyota,RAV4,2013,118810,3.5,248,4252,Diesel,Automatic,4,6,53799
Chevrolet,Malibu,2023,32725,4.0,308,4407,Gasoline,Automatic,2,4,84733
Chevrolet,Tahoe,2007,73076,1.5,75,4210,Gasoline,Automatic,4,4,26053
Ford,Escape,2020,50477,3.5,212,4141,Gasoline,Automatic,4,6,73652
Nissan,Altima,2022,38634,3.5,329,3760,Gasoline,Manual,2,8,79706
Nissan,Sentra,2023,55382,3.5,222,4190,Diesel,Automatic,4,6,79177
Toyota,Corolla,2021,67289,5.0,307,2802,Diesel,Automatic,4,6,84977
Hyundai,Elantra,2010,28126,2.5,161,3525,Gasoline,Automatic,4,4,46739
Audi,Q7,2019,25574,1.5,188,3958,Hybrid,CVT,4,6,73330
Honda,CR-V,2024,44920,3.0,163,3616,Gasoline,CVT,4,4,68601
Mercedes,GLE,2023,72640,3.0,160,4009,Electric,Automatic,4,4,85726
Audi,Q5,2015,118245,3.5,330,3210,Hybrid,Automatic,4,4,79019
BMW,3 Series,2007,70149,2.5,188,2252,Gasoline,Automatic,4,4,47371
Toyota,RAV4,2005,40489,5.0,361,3133,Gasoline,CVT,4,4,65419
Volkswagen,Golf,2009,32426,1.5,76,2156,Gasoline,CVT,4,4,21387
Toyota,Camry,2021,45668,4.0,260,4256,Diesel,Automatic,4,4,70103
Mercedes,C-Class,2021,109545,2.0,136,3109,Gasoline,Automatic,2,4,69298
Chevrolet,Silverado,2022,51412,5.0,355,3742,Hybrid,Automatic,2,4,93780
Audi,Q5,2015,108312,6.0,391,2906,Gasoline,CVT,4,4,87752
BMW,3 Series,2012,69303,3.0,238,4010,Electric,Automatic,4,4,75168
Chevrolet,Silverado,2005,69577,2.0,136,4012,Gasoline,Automatic,4,6,29660
Ford,Escape,2016,175094,4.0,306,2733,Gasoline,CVT,4,6,62920
Chevrolet,Equinox,2019,32418,3.0,204,2691,Electric,CVT,4,4,76104
Toyota,Tacoma,2019,92208,5.0,326,3618,Gasoline,Automatic,4,4,80318
Honda,Accord,2005,78188,1.5,153,4024,Gasoline,CVT,4,6,24819
Nissan,Rogue,2018,44567,1.5,133,4109,Diesel,CVT,4,8,47582
Mercedes,C-Class,2014,72408,3.5,185,3050,Gasoline,Automatic,4,6,64089
Ford,Explorer,2024,31974,6.0,457,3963,Gasoline,CVT,4,6,109983
Toyota,Highlander,2008,113560,3.0,246,3760,Hybrid,Automatic,4,6,47791
Toyota,Camry,2015,67762,4.0,292,3674,Hybrid,Manual,4,4,73082
Toyota,RAV4,2022,21586,5.0,353,4135,Hybrid,Automatic,4,6,104401
Chevrolet,Equinox,2022,40149,3.0,186,3245,Diesel,CVT,4,4,66750
Ford,Mustang,2022,7675,6.0,360,2901,Gasoline,Manual,4,4,94763
Hyundai,Elantra,2006,45446,4.0,325,3384,Gasoline,CVT,2,4,49211
Honda,HR-V,2020,89446,3.0,284,3414,Gasoline,Automatic,4,4,64003
Chevrolet,Malibu,2010,78953,5.0,402,4747,Gasoline,Automatic,4,6,67656
Audi,A6,2006,100,2.5,208,4422,Gasoline,Automatic,4,6,55542
Toyota,Camry,2021,108005,1.5,197,2838,Gasoline,Automatic,4,6,53609
Hyundai,Sonata,2017,86115,1.5,121,4118,Hybrid,Automatic,4,4,51552
Ford,Ranger,2017,58878,4.0,353,3982,Gasoline,Manual,4,4,76388
BMW,X5,2012,14630,3.5,241,4728,Gasoline,Automatic,4,4,63938
Honda,Pilot,2024,30795,5.0,323,3983,Hybrid,Automatic,4,4,104071
Hyundai,Elantra,2006,68884,2.5,171,3215,Electric,Automatic,4,4,43436
Honda,Pilot,2019,98497,6.0,423,2880,Gasoline,Automatic,4,4,91118
Ford,F-150,2016,106157,1.5,167,3553,Gasoline,Automatic,4,6,44043
Nissan,Pathfinder,2009,134169,3.0,206,3240,Electric,Automatic,4,4,51448
Mercedes,GLE,2010,60695,3.0,260,3814,Hybrid,CVT,4,4,73202
Honda,HR-V,2013,22286,5.0,356,3321,Gasoline,Automatic,4,4,76925
Audi,A6,2019,133148,4.0,242,4814,Gasoline,Automatic,4,4,80134
Chevrolet,Silverado,2022,97703,3.0,246,4273,Hybrid,CVT,4,4,84033
BMW,X3,2021,128144,3.5,278,4469,Hybrid,Automatic,4,6,93130
Hyundai,Santa Fe,2020,55456,2.5,170,2929,Gasoline,Automatic,4,4,63146
Audi,A6,2023,77268,6.0,410,3073,Gasoline,CVT,4,4,109643
BMW,X3,2020,48166,3.5,275,2988,Electric,Automatic,2,4,93155
Ford,Mustang,2023,89038,3.0,256,3586,Gasoline,Automatic,2,6,73629
BMW,X5,2020,52490,2.5,88,4333,Gasoline,Automatic,4,4,69452
Hyundai,Tucson,2006,70982,1.5,131,3874,Gasoline,Automatic,2,4,27812
Volkswagen,Jetta,2014,54735,3.5,279,3864,Gasoline,Automatic,4,6,59337
Hyundai,Elantra,2020,78193,2.0,133,3539,Hybrid,Automatic,4,6,63111
Nissan,Altima,2020,29026,2.0,200,3728,Electric,Automatic,4,4,69729
Hyundai,Elantra,2020,82900,3.0,275,2905,Hybrid,CVT,4,6,77223
Honda,Civic,2020,56586,5.0,347,3249,Electric,Automatic,4,6,101546
Chevrolet,Silverado,2011,94667,1.5,117,3752,Diesel,CVT,2,4,33154
Ford,F-150,2011,60141,1.5,170,3392,Gasoline,Automatic,4,6,36548
Volkswagen,Atlas,2007,38130,1.5,137,2527,Gasoline,Automatic,4,6,27675
Audi,A6,2020,46940,5.0,297,3387,Gasoline,Automatic,4,4,99775
Ford,F-150,2015,87643,3.5,289,2759,Gasoline,Automatic,2,6,64137
Nissan,Sentra,2009,8582,5.0,350,3925,Gasoline,Automatic,4,4,63990
Nissan,Rogue,2014,21181,3.5,236,3564,Gasoline,Automatic,4,6,65121
BMW,X5,2023,57057,3.5,234,3235,Hybrid,CVT,2,4,89510
Audi,A6,2012,75503,2.5,171,2858,Diesel,Automatic,4,8,58169
Mercedes,C-Class,2015,57653,5.0,403,1935,Hybrid,Automatic,4,8,92592
BMW,5 Series,2017,3083,2.5,148,1669,Electric,Manual,2,8,81885
Hyundai,Tucson,2010,63248,3.0,170,1624,Gasoline,CVT,4,6,44974
Hyundai,Santa Fe,2017,69737,6.0,407,1733,Gasoline,Automatic,2,4,85353
Mercedes,C-Class,2007,118191,5.0,322,2195,Gasoline,Automatic,4,4,66552
BMW,X5,2021,119575,3.0,271,2562,Hybrid,Automatic,4,6,87299
Ford,Ranger,2005,65267,2.5,185,3637,Gasoline,Automatic,4,4,34980
Ford,F-150,2019,8903,5.0,353,3596,Hybrid,Automatic,4,4,102703
Nissan,Rogue,2023,70425,6.0,413,2001,Gasoline,Automatic,4,4,98233
Toyota,Highlander,2014,79746,1.5,141,3831,Electric,CVT,4,4,43209
Volkswagen,Tiguan,2010,61499,3.0,227,3000,Electric,Automatic,4,6,58787
Toyota,4Runner,2014,100,5.0,297,3557,Hybrid,Automatic,4,4,88322
Hyundai,Santa Fe,2009,144425,2.5,209,2617,Gasoline,Automatic,4,6,33958
Nissan,Altima,2012,58155,6.0,459,3614,Gasoline,Automatic,4,6,84794
Mercedes,C-Class,2021,38958,4.0,283,3390,Gasoline,Automatic,4,4,87706
Ford,Escape,2016,124697,3.0,225,4331,Gasoline,CVT,4,4,54005
Hyundai,Tucson,2014,12751,3.5,246,2661,Gasoline,Automatic,2,4,65119
BMW,X5,2017,87993,6.0,350,3207,Gasoline,Automatic,2,4,98810
Chevrolet,Malibu,2008,133478,5.0,371,3789,Gasoline,Automatic,2,6,56774
Ford,Ranger,2020,49749,3.5,317,4481,Hybrid,Automatic,4,4,83348
Nissan,Altima,2013,49296,6.0,498,2012,Electric,Automatic,4,4,96976
BMW,X3,2006,75794,5.0,372,3633,Gasoline,Automatic,2,8,72767
Hyundai,Elantra,2018,62077,3.0,243,2393,Diesel,Manual,4,6,59372
Audi,A6,2014,140694,2.0,86,4083,Diesel,Automatic,4,4,47189
Audi,Q5,2012,32628,3.5,228,2497,Gasoline,Automatic,4,6,80731
BMW,3 Series,2018,74615,3.5,269,3012,Gasoline,Automatic,4,4,82624
Hyundai,Tucson,2021,35278,5.0,332,2793,Hybrid,Automatic,4,4,98601
Hyundai,Santa Fe,2019,42219,3.5,275,4307,Gasoline,CVT,2,4,69283
Audi,Q7,2011,55192,2.5,189,3293,Gasoline,Automatic,4,4,55672
Toyota,Tacoma,2019,34104,6.0,406,2690,Diesel,CVT,4,6,92591
Honda,HR-V,2009,122378,3.5,189,3690,Gasoline,Automatic,4,6,39163
Honda,Civic,2019,124868,5.0,384,3610,Gasoline,Manual,4,4,82540
BMW,X3,2021,40009,1.5,122,3502,Hybrid,Automatic,4,4,80380
Ford,Mustang,2016,72567,6.0,439,3570,Electric,Automatic,4,8,96240
Chevrolet,Equinox,2015,74376,2.0,169,2691,Gasoline,Automatic,4,6,45086
Toyota,Corolla,2011,108221,3.0,241,3592,Gasoline,Automatic,4,8,46791
Audi,Q5,2019,42383,2.5,217,2890,Gasoline,Automatic,4,4,74303
Toyota,Camry,2005,77363,2.0,113,2901,Gasoline,Automatic,4,8,32925
Chevrolet,Tahoe,2022,19647,2.5,204,3423,Gasoline,Automatic,4,4,62376
Audi,A6,2017,74738,5.0,295,3669,Diesel,Automatic,4,4,88331
Nissan,Pathfinder,2007,44074,2.5,208,3485,Gasoline,CVT,4,4,36045
Toyota,Tacoma,2009,130478,4.0,299,4262,Gasoline,Automatic,4,6,53859
Nissan,Rogue,2024,69242,6.0,432,4804,Gasoline,Automatic,4,4,99176
Volkswagen,Atlas,2006,54013,2.0,190,3179,Gasoline,Manual,4,4,37702
Hyundai,Tucson,2021,105867,1.5,87,3712,Electric,Automatic,4,8,57662
Volkswagen,Golf,2011,69331,3.0,228,3540,Gasoline,Automatic,4,4,53126
Toyota,RAV4,2009,42973,3.0,236,3023,Hybrid,Automatic,4,8,60195
Mercedes,GLE,2016,87146,3.5,222,1611,Gasoline,Automatic,4,8,68795
Ford,Mustang,2019,103272,3.0,232,3408,Gasoline,Automatic,4,4,60455
Hyundai,Santa Fe,2016,111798,2.5,219,2681,Gasoline,Automatic,4,4,49221
Toyota,Tacoma,2020,62262,6.0,394,3767,Diesel,Automatic,4,8,88277
Ford,Ranger,2007,30168,4.0,258,3401,Gasoline,Automatic,4,4,56584
Nissan,Altima,2022,72478,2.0,158,3488,Gasoline,Automatic,2,6,55301
Mercedes,E-Class,2018,100,5.0,319,3101,Diesel,Manual,4,6,94926
Honda,Pilot,2024,43079,3.0,187,2771,Hybrid,CVT,4,4,82633
Honda,Accord,2012,100223,5.0,415,2876,Gasoline,Automatic,2,6,72154
Volkswagen,Atlas,2013,112542,6.0,377,4577,Gasoline,Automatic,4,4,72858
Mercedes,C-Class,2017,90532,6.0,422,2176,Gasoline,Automatic,4,6,101375
Toyota,RAV4,2020,112482,1.5,149,4296,Gasoline,Automatic,4,4,49914
Toyota,Camry,2017,51895,1.5,152,3469,Hybrid,Automatic,4,4,57812
Ford,Escape,2020,60528,1.5,145,3084,Gasoline,CVT,4,4,57506
Chevrolet,Malibu,2011,42035,3.0,224,2882,Gasoline,Automatic,2,6,47614
Nissan,Sentra,2013,40869,3.5,258,2026,Gasoline,Automatic,4,8,61307
Hyundai,Elantra,2011,82484,2.5,218,1628,Gasoline,Automatic,4,6,46366
BMW,X3,2024,91027,2.5,130,2819,Diesel,Automatic,4,4,77563
Mercedes,GLE,2006,46128,1.5,80,2214,Gasoline,Automatic,4,4,40390
Ford,Mustang,2015,50186,2.0,172,2960,Gasoline,Automatic,4,6,51790
Nissan,Rogue,2023,71058,1.5,70,3570,Electric,Manual,4,4,71126
Volkswagen,Atlas,2020,75155,2.5,165,4072,Gasoline,Manual,4,6,55062
Ford,Ranger,2014,50736,4.0,281,2960,Gasoline,Automatic,4,4,71236
Hyundai,Sonata,2010,9571,3.0,277,3721,Diesel,Automatic,4,4,63602
Nissan,Sentra,2012,66048,2.5,251,2682,Gasoline,Manual,2,4,47564
Nissan,Rogue,2014,123736,2.0,125,2823,Gasoline,Automatic,4,6,42489
Mercedes,C-Class,2012,66444,1.5,117,3277,Gasoline,Automatic,4,4,47895
Honda,HR-V,2016,97155,4.0,293,4758,Diesel,Automatic,4,4,61794
Nissan,Rogue,2006,19319,5.0,267,4409,Gasoline,CVT,4,4,60178
Mercedes,C-Class,2011,84794,1.5,117,2809,Diesel,Automatic,4,6,43531
Volkswagen,Tiguan,2013,105112,3.0,307,3124,Diesel,Automatic,4,4,57376
Chevrolet,Equinox,2023,91760,3.0,259,3510,Gasoline,Automatic,4,6,70578
Chevrolet,Tahoe,2019,52949,4.0,280,2208,Gasoline,Automatic,4,6,77683
Audi,Q7,2018,52251,5.0,365,2664,Gasoline,Automatic,4,4,101022
Nissan,Rogue,2016,4221,3.0,251,3199,Gasoline,Automatic,4,4,65069
Audi,A6,2016,92793,4.0,317,4277,Gasoline,CVT,4,6,85826
Honda,CR-V,2021,67837,4.0,343,3816,Gasoline,Automatic,4,6,80050
Volkswagen,Golf,2009,66729,5.0,364,3588,Gasoline,Automatic,4,4,65687
Chevrolet,Tahoe,2011,93036,5.0,331,3058,Diesel,Manual,4,6,61506
Honda,Civic,2013,66363,3.5,308,3123,Gasoline,Manual,2,4,62236
Audi,A6,2010,118511,5.0,333,3372,Hybrid,Manual,4,8,80002
Audi,Q7,2006,34745,6.0,501,2917,Hybrid,Automatic,4,4,96709
Nissan,Altima,2014,87057,4.0,312,4055,Gasoline,Automatic,4,8,59509
Ford,F-150,2020,55971,2.0,131,2500,Gasoline,Automatic,4,4,60294
Hyundai,Tucson,2008,49852,3.5,203,3963,Gasoline,Automatic,2,8,47148
Nissan,Rogue,2011,95931,5.0,388,4371,Gasoline,Automatic,4,4,65146
BMW,X3,2024,99481,1.5,165,3221,Gasoline,Automatic,4,4,72748
Audi,A6,2005,118191,2.0,190,4676,Gasoline,Automatic,2,4,40960
Ford,Escape,2020,75451,3.0,264,4288,Gasoline,Automatic,2,4,68719
Toyota,Highlander,2024,132509,5.0,307,4043,Gasoline,Automatic,4,4,95046
Chevrolet,Silverado,2021,17614,3.0,134,3005,Gasoline,Automatic,4,4,68736
Toyota,Highlander,2020,93463,2.5,214,3778,Electric,Automatic,4,4,65157
Chevrolet,Malibu,2010,74369,3.0,162,4569,Gasoline,Automatic,4,6,42821
Honda,Accord,2016,58914,5.0,421,2458,Gasoline,Automatic,4,4,73573
Honda,Pilot,2018,75380,2.0,73,3519,Gasoline,Automatic,4,4,47373
Ford,Mustang,2023,63092,2.0,206,3986,Gasoline,Automatic,4,4,65766
Hyundai,Tucson,2005,105522,1.5,133,4033,Gasoline,Automatic,4,8,20091
BMW,X5,2009,120970,3.0,198,2597,Electric,Automatic,4,6,57784
BMW,X5,2006,44021,4.0,309,4110,Gasoline,Automatic,2,4,64289
Nissan,Altima,2011,36752,2.5,165,3204,Gasoline,Automatic,2,4,46023
Chevrolet,Tahoe,2022,68951,6.0,412,3656,Diesel,Automatic,4,8,93070
Toyota,Tacoma,2009,121980,1.5,140,3295,Gasoline,Manual,2,4,34572
Chevrolet,Tahoe,2024,71867,5.0,389,3412,Electric,CVT,4,4,97997
Volkswagen,Tiguan,2019,55913,5.0,373,3139,Gasoline,CVT,4,8,85928
Mercedes,C-Class,2020,95700,4.0,264,2361,Hybrid,Automatic,4,4,90339
Ford,Mustang,2014,91756,3.0,271,3121,Diesel,Automatic,4,4,50502
Chevrolet,Equinox,2008,67381,2.5,106,4348,Hybrid,Automatic,2,4,45316
Nissan,Altima,2016,51423,1.5,85,2999,Hybrid,Automatic,4,6,51893
Chevrolet,Equinox,2012,50079,1.5,109,3308,Gasoline,Automatic,4,8,43843
Chevrolet,Equinox,2024,87966,2.5,166,2704,Hybrid,Automatic,4,6,74248
BMW,X3,2020,60141,2.5,231,2203,Gasoline,Automatic,4,4,70338
Hyundai,Santa Fe,2007,68228,3.0,187,5237,Hybrid,CVT,4,4,49217
Audi,Q7,2005,74852,3.0,181,3090,Gasoline,Automatic,4,8,51585
BMW,X3,2019,72719,4.0,340,4784,Gasoline,CVT,4,4,87887
Mercedes,C-Class,2022,77146,6.0,408,3853,Gasoline,Manual,4,4,112760
Toyota,Tacoma,2009,8512,2.5,135,3712,Gasoline,Automatic,4,4,45814
BMW,3 Series,2006,86286,2.5,193,3663,Gasoline,Automatic,4,6,46736
BMW,X5,2021,44910,3.5,236,4576,Hybrid,Automatic,4,6,94122
Honda,CR-V,2020,89126,6.0,426,4131,Gasoline,CVT,4,4,94596
Honda,Accord,2018,62510,5.0,302,2292,Hybrid,Automatic,4,8,87688
Audi,A6,2010,110283,4.0,242,4516,Gasoline,Automatic,4,4,70091
BMW,5 Series,2010,10296,5.0,355,4565,Gasoline,Automatic,4,4,82320
Nissan,Pathfinder,2013,28396,6.0,494,4074,Gasoline,Automatic,4,6,96488
Chevrolet,Silverado,2013,38628,1.5,108,3291,Electric,Automatic,4,4,49102
Honda,Pilot,2011,82886,3.0,182,2924,Gasoline,Automatic,2,6,46260
Mercedes,GLE,2021,72412,6.0,431,2620,Diesel,Automatic,4,4,113301
Mercedes,E-Class,2012,8362,2.5,228,3838,Hybrid,Automatic,4,4,73821
Toyota,Corolla,2012,101120,3.0,272,3881,Gasoline,Automatic,4,6,52570
Chevrolet,Silverado,2023,78915,1.5,70,2793,Gasoline,Automatic,4,4,52823
Honda,Civic,2009,100758,6.0,411,2869,Hybrid,Automatic,4,4,81081
Ford,F-150,2024,68283,6.0,416,2418,Gasoline,Automatic,4,4,100355
Toyota,Camry,2018,54827,1.5,149,4978,Gasoline,Automatic,4,4,51142
Mercedes,C-Class,2023,92432,3.5,372,4918,Gasoline,Automatic,4,4,86990
Mercedes,C-Class,2014,40120,5.0,341,2001,Gasoline,Automatic,4,4,88634
Hyundai,Sonata,2020,75828,3.0,236,4206,Hybrid,CVT,4,4,71484
Audi,A6,2010,67616,3.5,218,3989,Gasoline,Automatic,2,4,57041
Mercedes,C-Class,2005,66655,3.0,245,4191,Gasoline,Automatic,4,6,49686
BMW,3 Series,2018,155275,2.5,147,2929,Gasoline,Automatic,4,4,61245
Volkswagen,Golf,2016,72896,4.0,272,4315,Gasoline,Automatic,4,8,68245
Volkswagen,Atlas,2016,37786,2.5,199,3302,Gasoline,Automatic,4,4,53671
Hyundai,Sonata,2009,72506,1.5,153,4703,Hybrid,Automatic,4,4,43077
BMW,X3,2021,88104,2.5,217,4225,Diesel,Automatic,4,4,71993
Toyota,RAV4,2020,76537,3.0,264,3081,Hybrid,Manual,4,8,75429
BMW,X5,2015,81502,3.5,283,2695,Gasoline,Automatic,4,4,72262
Mercedes,GLC,2023,96052,5.0,381,2274,Gasoline,Automatic,4,4,100686
Audi,A4,2010,119329,3.5,253,2911,Hybrid,Manual,4,4,70671
Volkswagen,Jetta,2005,107685,3.5,280,3589,Gasoline,Automatic,2,4,47277
Mercedes,E-Class,2006,86214,4.0,256,4387,Gasoline,Automatic,4,6,55428
Honda,HR-V,2005,61909,3.0,257,3294,Diesel,Automatic,4,4,43193
Toyota,4Runner,2013,30257,6.0,417,3436,Gasoline,Automatic,2,4,82886
Honda,Pilot,2011,54415,5.0,344,2412,Gasoline,Automatic,4,4,70966
BMW,X5,2008,54964,3.5,295,3952,Diesel,Automatic,2,4,59817
BMW,5 Series,2020,47934,3.0,322,3636,Electric,CVT,4,8,98708
BMW,X5,2018,64518,2.0,135,1462,Diesel,Automatic,2,4,59230
Audi,A6,2010,90006,4.0,224,2794,Gasoline,Automatic,4,4,70456
BMW,X3,2022,37597,5.0,425,3555,Gasoline,Manual,4,4,110489
Mercedes,C-Class,2023,86938,2.5,252,3891,Gasoline,Automatic,4,4,79019
Toyota,Tacoma,2005,36645,2.0,183,2637,Gasoline,Automatic,2,4,35612
Mercedes,GLE,2013,55221,2.0,140,4199,Hybrid,Automatic,4,4,62807
Hyundai,Santa Fe,2018,69566,2.5,176,3074,Gasoline,Automatic,4,6,50073
Hyundai,Elantra,2013,100922,3.0,198,2374,Gasoline,Automatic,4,6,45255
Chevrolet,Silverado,2008,81659,3.5,267,4064,Hybrid,Automatic,4,6,60940
Toyota,Highlander,2007,145198,3.5,180,4151,Gasoline,Automatic,2,4,36576
Chevrolet,Silverado,2024,41970,1.5,113,1825,Gasoline,Automatic,4,4,61459
Hyundai,Elantra,2007,44268,3.5,251,2650,Gasoline,CVT,4,4,43579
Volkswagen,Golf,2008,107810,4.0,339,3008,Gasoline,Automatic,2,6,55300
Honda,Civic,2012,19016,2.5,175,3746,Hybrid,CVT,4,4,61927
Chevrolet,Tahoe,2017,77614,2.5,222,3360,Hybrid,Automatic,2,6,63260
Audi,Q7,2011,119305,1.5,108,2981,Gasoline,Manual,4,6,40567
BMW,X5,2017,91801,2.0,126,4289,Hybrid,Automatic,4,4,72050
Hyundai,Elantra,2021,65033,5.0,296,2287,Gasoline,Automatic,4,4,82431
Hyundai,Tucson,2017,63762,2.5,158,4146,Gasoline,Automatic,4,6,60569
Mercedes,E-Class,2023,116114,3.5,219,3400,Gasoline,Automatic,4,6,83211
Toyota,Camry,2009,120872,5.0,311,4539,Diesel,Automatic,4,4,56455
Ford,F-150,2007,125972,5.0,320,4690,Gasoline,Automatic,2,4,52566
Chevrolet,Equinox,2019,100,2.0,154,4314,Gasoline,CVT,4,4,63686
Volkswagen,Tiguan,2019,29924,2.5,227,2373,Gasoline,Automatic,4,8,58505
Volkswagen,Tiguan,2013,90035,2.5,154,2250,Gasoline,Automatic,4,4,51123
Mercedes,GLC,2024,45996,6.0,439,2643,Gasoline,Automatic,4,4,112829
Honda,Civic,2016,67409,3.0,223,3333,Gasoline,Automatic,2,4,58334
Honda,Accord,2018,42504,2.0,178,3135,Gasoline,CVT,2,4,55409
Ford,F-150,2012,142814,3.0,236,2602,Gasoline,CVT,4,6,48665
Hyundai,Elantra,2010,100,1.5,112,4659,Gasoline,CVT,4,4,37194
Mercedes,GLE,2024,177645,6.0,388,2986,Diesel,CVT,4,6,100635
Chevrolet,Malibu,2007,40360,5.0,402,4212,Gasoline,CVT,4,6,65474
BMW,3 Series,2024,3551,3.5,306,3326,Hybrid,Automatic,4,6,108175
Ford,Escape,2020,45722,2.0,124,2312,Electric,CVT,4,8,59986
Hyundai,Elantra,2012,48207,1.5,135,4064,Gasoline,Automatic,4,4,40351
Honda,Civic,2018,85520,3.0,219,2729,Gasoline,CVT,4,4,63695
Chevrolet,Equinox,2021,89779,2.0,169,3100,Diesel,Automatic,4,8,49913
Ford,Mustang,2015,39040,3.5,284,3832,Hybrid,Automatic,4,4,74071
Audi,Q7,2017,126994,5.0,291,3384,Gasoline,Automatic,4,6,79894
Mercedes,GLC,2019,66452,2.0,111,4477,Hybrid,Automatic,4,6,64985
Audi,Q7,2016,67698,2.5,163,4343,Gasoline,Automatic,4,4,62127
Honda,Pilot,2006,100,2.5,274,3406,Gasoline,Automatic,4,4,48598
Nissan,Altima,2007,64737,6.0,439,5273,Gasoline,Automatic,4,6,71991
BMW,X3,2022,103956,5.0,306,4307,Gasoline,Automatic,4,4,100821
Volkswagen,Golf,2022,43624,3.5,163,3656,Diesel,Automatic,4,6,74308
